id	x	y	z
64311	156306	142963	18
64312	156306	142964	18
64313	156306	142965	18
64314	156306	142966	18
64315	156306	142967	18
64316	156306	142968	18
64317	156306	142969	18
64318	156306	142970	18
64319	156306	142971	18
64320	156306	142972	18
64321	156306	142973	18
64322	156306	142974	18
64323	156306	142975	18
64324	156306	142976	18
64325	156306	142977	18
64812	156307	142949	18
64813	156307	142950	18
64814	156307	142951	18
64815	156307	142952	18
64816	156307	142953	18
64817	156307	142954	18
64818	156307	142955	18
64819	156307	142956	18
64820	156307	142957	18
64821	156307	142958	18
64822	156307	142959	18
64823	156307	142960	18
64824	156307	142961	18
64825	156307	142962	18
64826	156307	142963	18
64827	156307	142964	18
64828	156307	142965	18
64829	156307	142966	18
64830	156307	142967	18
64831	156307	142968	18
64832	156307	142969	18
64833	156307	142970	18
64834	156307	142971	18
64835	156307	142972	18
64836	156307	142973	18
64837	156307	142974	18
64838	156307	142975	18
64839	156307	142976	18
64840	156307	142977	18
65326	156308	142948	18
65327	156308	142949	18
65328	156308	142950	18
65329	156308	142951	18
65330	156308	142952	18
65331	156308	142953	18
65332	156308	142954	18
65333	156308	142955	18
65334	156308	142956	18
65335	156308	142957	18
65336	156308	142958	18
65337	156308	142959	18
65338	156308	142960	18
65339	156308	142961	18
65340	156308	142962	18
65341	156308	142963	18
65342	156308	142964	18
65343	156308	142965	18
65344	156308	142966	18
65345	156308	142967	18
65346	156308	142968	18
65347	156308	142969	18
65348	156308	142970	18
65349	156308	142971	18
65350	156308	142972	18
65351	156308	142973	18
65352	156308	142974	18
65353	156308	142975	18
65354	156308	142976	18
65355	156308	142977	18
65356	156308	142978	18
65841	156309	142948	18
65842	156309	142949	18
65843	156309	142950	18
65844	156309	142951	18
65845	156309	142952	18
65846	156309	142953	18
65847	156309	142954	18
65848	156309	142955	18
65849	156309	142956	18
65850	156309	142957	18
65851	156309	142958	18
65852	156309	142959	18
65853	156309	142960	18
65854	156309	142961	18
65855	156309	142962	18
65856	156309	142963	18
65857	156309	142964	18
65858	156309	142965	18
65859	156309	142966	18
65860	156309	142967	18
65861	156309	142968	18
65862	156309	142969	18
65863	156309	142970	18
65864	156309	142971	18
65865	156309	142972	18
65866	156309	142973	18
65867	156309	142974	18
65868	156309	142975	18
65869	156309	142976	18
65870	156309	142977	18
65871	156309	142978	18
65872	156309	142979	18
66356	156310	142948	18
66357	156310	142949	18
66358	156310	142950	18
66359	156310	142951	18
66360	156310	142952	18
66361	156310	142953	18
66362	156310	142954	18
66363	156310	142955	18
66364	156310	142956	18
66365	156310	142957	18
66366	156310	142958	18
66367	156310	142959	18
66368	156310	142960	18
66369	156310	142961	18
66370	156310	142962	18
66371	156310	142963	18
66372	156310	142964	18
66373	156310	142965	18
66374	156310	142966	18
66375	156310	142967	18
66376	156310	142968	18
66377	156310	142969	18
66378	156310	142970	18
66379	156310	142971	18
66380	156310	142972	18
66381	156310	142973	18
66382	156310	142974	18
66383	156310	142975	18
66384	156310	142976	18
66385	156310	142977	18
66386	156310	142978	18
66387	156310	142979	18
66871	156311	142948	18
66872	156311	142949	18
66873	156311	142950	18
66874	156311	142951	18
66875	156311	142952	18
66876	156311	142953	18
66877	156311	142954	18
66878	156311	142955	18
66879	156311	142956	18
66880	156311	142957	18
66881	156311	142958	18
66882	156311	142959	18
66883	156311	142960	18
66884	156311	142961	18
66885	156311	142962	18
66886	156311	142963	18
66887	156311	142964	18
66888	156311	142965	18
66889	156311	142966	18
66890	156311	142967	18
66891	156311	142968	18
66892	156311	142969	18
66893	156311	142970	18
66894	156311	142971	18
66895	156311	142972	18
66896	156311	142973	18
66897	156311	142974	18
66898	156311	142975	18
66899	156311	142976	18
66900	156311	142977	18
66901	156311	142978	18
66902	156311	142979	18
66903	156311	142980	18
67385	156312	142947	18
67386	156312	142948	18
67387	156312	142949	18
67388	156312	142950	18
67389	156312	142951	18
67390	156312	142952	18
67391	156312	142953	18
67392	156312	142954	18
67393	156312	142955	18
67394	156312	142956	18
67395	156312	142957	18
67396	156312	142958	18
67397	156312	142959	18
67398	156312	142960	18
67399	156312	142961	18
67400	156312	142962	18
67401	156312	142963	18
67402	156312	142964	18
67403	156312	142965	18
67404	156312	142966	18
67405	156312	142967	18
67406	156312	142968	18
67407	156312	142969	18
67408	156312	142970	18
67409	156312	142971	18
67410	156312	142972	18
67411	156312	142973	18
67412	156312	142974	18
67413	156312	142975	18
67414	156312	142976	18
67415	156312	142977	18
67416	156312	142978	18
67417	156312	142979	18
67418	156312	142980	18
67419	156312	142981	18
67900	156313	142947	18
67901	156313	142948	18
67902	156313	142949	18
67903	156313	142950	18
67904	156313	142951	18
67905	156313	142952	18
67906	156313	142953	18
67907	156313	142954	18
67908	156313	142955	18
67909	156313	142956	18
67910	156313	142957	18
67911	156313	142958	18
67912	156313	142959	18
67913	156313	142960	18
67914	156313	142961	18
67915	156313	142962	18
67916	156313	142963	18
67917	156313	142964	18
67918	156313	142965	18
67919	156313	142966	18
67920	156313	142967	18
67921	156313	142968	18
67922	156313	142969	18
67923	156313	142970	18
67924	156313	142971	18
67925	156313	142972	18
67926	156313	142973	18
67927	156313	142974	18
67928	156313	142975	18
67929	156313	142976	18
67930	156313	142977	18
67931	156313	142978	18
67932	156313	142979	18
67933	156313	142980	18
67934	156313	142981	18
68415	156314	142947	18
68416	156314	142948	18
68417	156314	142949	18
68418	156314	142950	18
68419	156314	142951	18
68420	156314	142952	18
68421	156314	142953	18
68422	156314	142954	18
68423	156314	142955	18
68424	156314	142956	18
68425	156314	142957	18
68426	156314	142958	18
68427	156314	142959	18
68428	156314	142960	18
68429	156314	142961	18
68430	156314	142962	18
68431	156314	142963	18
68432	156314	142964	18
68433	156314	142965	18
68434	156314	142966	18
68435	156314	142967	18
68436	156314	142968	18
68437	156314	142969	18
68438	156314	142970	18
68439	156314	142971	18
68440	156314	142972	18
68441	156314	142973	18
68442	156314	142974	18
68443	156314	142975	18
68444	156314	142976	18
68445	156314	142977	18
68446	156314	142978	18
68447	156314	142979	18
68448	156314	142980	18
68449	156314	142981	18
68450	156314	142982	18
68930	156315	142947	18
68931	156315	142948	18
68932	156315	142949	18
68933	156315	142950	18
68934	156315	142951	18
68935	156315	142952	18
68936	156315	142953	18
68937	156315	142954	18
68938	156315	142955	18
68939	156315	142956	18
68940	156315	142957	18
68941	156315	142958	18
68942	156315	142959	18
68943	156315	142960	18
68944	156315	142961	18
68945	156315	142962	18
68946	156315	142963	18
68947	156315	142964	18
68948	156315	142965	18
68949	156315	142966	18
68950	156315	142967	18
68951	156315	142968	18
68952	156315	142969	18
68953	156315	142970	18
68954	156315	142971	18
68955	156315	142972	18
68956	156315	142973	18
68957	156315	142974	18
68958	156315	142975	18
68959	156315	142976	18
68960	156315	142977	18
68961	156315	142978	18
68962	156315	142979	18
68963	156315	142980	18
68964	156315	142981	18
68965	156315	142982	18
68966	156315	142983	18
69444	156316	142946	18
69445	156316	142947	18
69446	156316	142948	18
69447	156316	142949	18
69448	156316	142950	18
69449	156316	142951	18
69450	156316	142952	18
69451	156316	142953	18
69452	156316	142954	18
69453	156316	142955	18
69454	156316	142956	18
69455	156316	142957	18
69456	156316	142958	18
69457	156316	142959	18
69458	156316	142960	18
69459	156316	142961	18
69460	156316	142962	18
69461	156316	142963	18
69462	156316	142964	18
69463	156316	142965	18
69464	156316	142966	18
69465	156316	142967	18
69466	156316	142968	18
